Row Index,Outlier Count
12627,24
8384,24
4732,24
5263,24
2169,24
2170,24
5262,24
8385,24
8304,24
1906,24
8196,24
11334,24
8078,24
3822,24
8195,24
4733,24
2024,24
2025,24
1905,24
10222,24
11333,24
7403,24
7404,24
5449,24
8079,24
11996,24
11997,24
10223,24
1293,24
12581,23
3490,23
8690,23
7669,23
4171,23
11647,22
7668,22
6058,22
12168,22
3570,22
12615,22
8303,22
8442,22
154,22
155,22
4147,21
11648,21
9846,21
7336,21
7337,21
960,21
5699,21
1239,21
4830,21
1240,21
2104,21
12204,21
3821,21
11430,21
10583,20
7726,20
9019,20
10584,20
12086,20
9845,20
12431,20
122,20
6021,20
6020,20
123,20
12582,20
5450,20
2915,20
475,19
1292,19
1468,19
2235,19
12488,19
6166,19
4146,19
10626,19
37,19
5927,19
7592,18
12613,18
6889,18
11522,18
8507,18
11632,18
12337,18
8109,18
2191,18
9204,18
7727,18
4958,18
11200,18
1546,18
10090,17
36,17
5574,17
8455,17
6446,17
4295,17
6650,17
5843,17
4968,17
2236,17
8456,17
8504,17
8604,17
5580,17
9120,17
5576,17
9194,17
6184,17
3489,16
4959,16
9201,16
12487,16
3169,16
12608,16
46,16
45,16
2450,16
5937,16
12148,16
5653,16
9203,16
5938,16
6447,16
10674,16
10627,16
7775,16
10220,16
9020,16
9121,16
7367,16
